业务名称,日期,本期服务量,本期订单量,本期万服,对比期服务量,对比期订单量,对比期万服,绝对差(delta),YoY%
到餐客服,2026-03-16,21234,1234567,171.93,19456,1189234,163.61,8.32,5.09
到餐客服,2026-03-17,22456,1289345,174.23,20678,1245678,166.01,8.22,4.95
到餐客服,2026-03-18,23123,1323456,174.71,21345,1298765,164.39,10.32,6.28
到餐客服,2026-03-19,22890,1312345,174.54,21123,1289345,163.83,10.71,6.54
到餐客服,2026-03-20,22567,1298765,173.75,20890,1276543,163.63,10.12,6.19
到餐客服,2026-03-21,21987,1267890,173.47,20234,1245678,162.41,11.06,6.81
到餐客服,2026-03-22,21456,1234567,173.76,19678,1201234,163.89,9.87,6.02
闪购客服,2026-03-16,8234,456789,180.32,7456,423456,176.06,42.6,2.42
闪购客服,2026-03-17,8567,478901,178.88,7823,445678,175.49,33.9,1.93
闪购客服,2026-03-18,8789,489234,179.65,8012,456789,175.44,42.1,2.40
闪购客服,2026-03-19,8623,482345,178.76,7923,451234,175.55,32.1,1.83
闪购客服,2026-03-20,8456,472345,179.04,7756,445678,174.00,50.4,2.90
闪购客服,2026-03-21,8345,465678,179.23,7634,439876,173.56,56.7,3.27
闪购客服,2026-03-22,8234,456789,180.32,7456,423456,176.06,42.6,2.42
企客业务,2026-03-16,2345,123456,189.95,2156,112345,191.89,-1.94,-1.01
企客业务,2026-03-17,2456,128901,190.62,2267,118234,191.74,-1.12,-0.58
企客业务,2026-03-18,2534,132456,191.31,2345,121567,192.91,-1.60,-0.83
企客业务,2026-03-19,2489,130234,191.14,2298,119876,191.76,-0.62,-0.32
企客业务,2026-03-20,2423,127890,189.46,2234,117654,189.83,-0.37,-0.19
企客业务,2026-03-21,2378,125678,189.13,2189,115678,189.24,-0.11,-0.06
企客业务,2026-03-22,2345,123456,189.95,2156,112345,191.89,-1.94,-1.01
