业务名称,年份,周次,日期,本期服务量,本期订单量,本期万服,对比期服务量,对比期订单量,对比期万服,绝对差(delta),YoY%
到餐客服,2025,W1,2025-01-06,21171,294992,717.68,19035,376876,505.07,212.61,42.1
到餐客服,2025,W1,2025-01-07,19566,1483439,131.9,19645,1352452,145.25,-13.35,-9.19
到餐客服,2025,W1,2025-01-08,14535,1161530,125.14,11640,887885,131.1,-5.96,-4.55
到餐客服,2025,W1,2025-01-09,26693,1130934,236.03,22724,989595,229.63,6.4,2.79
到餐客服,2025,W1,2025-01-10,8923,456270,195.56,8973,632140,141.95,53.61,37.77
到餐客服,2025,W1,2025-01-11,25873,266011,972.63,20270,207229,978.14,-5.51,-0.56
到餐客服,2025,W1,2025-01-12,12540,1229917,101.96,12110,1446037,83.75,18.21,21.74
到餐客服,2025,W2,2025-01-13,14359,1267237,113.31,14854,1201487,123.63,-10.32,-8.35
到餐客服,2025,W2,2025-01-14,11530,1021983,112.82,8808,1042152,84.52,28.3,33.48
到餐客服,2025,W2,2025-01-15,14165,1665451,85.05,10997,1208221,91.02,-5.97,-6.56
到餐客服,2025,W2,2025-01-16,15366,987427,155.62,10390,728454,142.63,12.99,9.11
到餐客服,2025,W2,2025-01-17,7881,1451736,54.29,9062,1547555,58.56,-4.27,-7.29
到餐客服,2025,W2,2025-01-18,15897,1127812,140.95,17782,1269588,140.06,0.89,0.64
到餐客服,2025,W2,2025-01-19,5931,1127207,52.62,4301,1064156,40.42,12.2,30.18
到餐客服,2025,W3,2025-01-20,14027,1559340,89.95,17944,1168507,153.56,-63.61,-41.42
到餐客服,2025,W3,2025-01-21,2814,255937,109.95,3693,213864,172.68,-62.73,-36.33
到餐客服,2025,W3,2025-01-22,9585,1541034,62.2,12050,1558231,77.33,-15.13,-19.57
到餐客服,2025,W3,2025-01-23,10702,766133,139.69,10328,583826,176.9,-37.21,-21.03
到餐客服,2025,W3,2025-01-24,2495,371830,67.1,1897,327240,57.97,9.13,15.75
到餐客服,2025,W3,2025-01-25,12118,783876,154.59,8201,671161,122.19,32.4,26.52
到餐客服,2025,W3,2025-01-26,10509,1436291,73.17,11717,1466134,79.92,-6.75,-8.45
到餐客服,2025,W4,2025-01-27,5992,732476,81.8,5929,822596,72.08,9.72,13.49
到餐客服,2025,W4,2025-01-28,19028,987728,192.64,17151,911222,188.22,4.42,2.35
到餐客服,2025,W4,2025-01-29,12943,492822,262.63,9862,558359,176.62,86.01,48.7
到餐客服,2025,W4,2025-01-30,3336,851737,39.17,2883,784567,36.75,2.42,6.59
到餐客服,2025,W4,2025-01-31,16057,777445,206.54,13469,736250,182.94,23.6,12.9
到餐客服,2025,W4,2025-02-01,24799,518302,478.47,18807,505799,371.83,106.64,28.68
到餐客服,2025,W4,2025-02-02,6748,1417907,47.59,7287,1164033,62.6,-15.01,-23.98
到餐客服,2025,W5,2025-02-03,14984,1026383,145.99,13346,1008696,132.31,13.68,10.34
到餐客服,2025,W5,2025-02-04,3990,1075616,37.1,4185,917119,45.63,-8.53,-18.69
到餐客服,2025,W5,2025-02-05,10966,184065,595.77,14944,207522,720.12,-124.35,-17.27
到餐客服,2025,W5,2025-02-06,14538,980764,148.23,14842,779267,190.46,-42.23,-22.17
