业务名称,维度类型,维度值,可用状态,原因
到餐客服,城市等级,一线城市,available,true,
到餐客服,城市等级,二线城市,available,true,
到餐客服,城市等级,三线城市,available,true,
到餐客服,城市等级,四线城市,available,true,
到餐客服,城市等级,五线城市,available,true,
到餐客服,品类,外卖,available,true,
到餐客服,品类,到店,available,true,
到餐客服,品类,酒旅,available,true,
到餐客服,品类,闪购,available,true,
到餐客服,品类,优选,available,true,
到餐客服,事件类别,配送问题,available,true,
到餐客服,事件类别,退款问题,available,true,
到餐客服,事件类别,质量问题,available,true,
到餐客服,事件类别,服务态度,available,true,
到餐客服,事件类别,优惠券问题,available,true,
到餐客服,事件类别,账户问题,available,true,
到餐客服,事件类别,支付问题,available,true,
到餐客服,事件类别,会员服务,available,true,
到餐客服,进线渠道,APP在线,available,true,
到餐客服,进线渠道,电话热线,available,true,
到餐客服,进线渠道,小程序,available,true,
到餐客服,进线渠道,网页端,available,false,数据集不含此维度
到餐客服,战区,华东战区,available,true,
到餐客服,战区,华南战区,available,true,
到餐客服,战区,华北战区,available,true,
到餐客服,战区,华中战区,available,true,
到餐客服,战区,西南战区,available,true,
到餐客服,战区,西北战区,available,true,
到餐客服,FAQ,配送时效咨询,available,true,
到餐客服,FAQ,退款进度查询,available,true,
到餐客服,FAQ,优惠券使用,available,true,
到餐客服,FAQ,会员权益,available,true,
到餐客服,FAQ,积分兑换,available,true,
闪购客服,城市等级,一线城市,available,true,
闪购客服,城市等级,二线城市,available,true,
闪购客服,城市等级,三线城市,available,true,
闪购客服,城市等级,四线城市,available,true,
闪购客服,城市等级,五线城市,available,true,
闪购客服,品类,生鲜果蔬,available,true,
闪购客服,品类,鲜花绿植,available,true,
闪购客服,品类,医药健康,available,true,
闪购客服,品类,日用百货,available,true,
闪购客服,品类,酒水饮料,available,true,
闪购客服,进线渠道,APP在线,available,false,数据集不含此维度
闪购客服,进线渠道,电话热线,available,false,数据集不含此维度
闪购客服,进线渠道,小程序,available,false,数据集不含此维度
闪购客服,进线渠道,网页端,available,false,数据集不含此维度
企客业务,城市等级,一线城市,available,true,
企客业务,城市等级,二线城市,available,true,
企客业务,城市等级,三线城市,available,true,
企客业务,城市等级,四线城市,available,true,
企客业务,品类,企业外卖,available,true,
企客业务,品类,企业团购,available,true,
企客业务,品类,企业定制,available,true,
企客业务,事件类别,配送问题,available,true,
企客业务,事件类别,退款问题,available,true,
企客业务,事件类别,企业专属,available,true,
企客业务,进线渠道,APP在线,available,false,数据集不含此维度
企客业务,进线渠道,电话热线,available,false,数据集不含此维度
企客业务,战区,华东战区,available,false,数据集不含此维度
企客业务,战区,华南战区,available,false,数据集不含此维度
企客业务,FAQ,配送时效咨询,available,false,数据集不含此维度
