业务名称,年份,周次,开始日期,结束日期,周类型
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期
到餐客服,2025,W6,2025-02-10,2025-02-16,历史对比期
到餐客服,2025,W7,2025-02-17,2025-02-23,历史对比期
到餐客服,2025,W8,2025-02-24,2025-03-02,历史对比期
到餐客服,2025,W9,2025-03-03,2025-03-09,历史对比期
到餐客服,2025,W10,2025-03-10,2025-03-16,历史对比期
到餐客服,2025,W11,2025-03-17,2025-03-23,历史对比期
到餐客服,2025,W12,2025-03-17,2025-03-23,历史对比期
到餐客服,2025,W13,2025-03-24,2025-03-30,历史对比期
到餐客服,2025,W14,2025-03-31,2025-04-06,历史对比期
到餐客服,2025,W15,2025-04-07,2025-04-13,历史对比期
到餐客服,2025,W16,2025-04-14,2025-04-20,历史对比期
到餐客服,2025,W17,2025-04-21,2025-04-27,历史对比期
到餐客服,2025,W18,2025-04-28,2025-05-04,历史对比期
到餐客服,2025,W19,2025-05-05,2025-05-11,历史对比期
到餐客服,2025,W20,2025-05-12,2025-05-18,历史对比期
到餐客服,2025,W21,2025-05-19,2025-05-25,历史对比期
到餐客服,2025,W22,2025-05-26,2025-06-01,历史对比期
到餐客服,2025,W23,2025-06-02,2025-06-08,历史对比期
到餐客服,2025,W24,2025-06-09,2025-06-15,历史对比期
到餐客服,2025,W25,2025-06-16,2025-06-22,历史对比期
到餐客服,2025,W26,2025-06-23,2025-06-29,历史对比期
到餐客服,2025,W27,2025-06-30,2025-07-06,历史对比期
到餐客服,2025,W28,2025-07-07,2025-07-13,历史对比期
到餐客服,2025,W29,2025-07-14,2025-07-20,历史对比期
到餐客服,2025,W30,2025-07-21,2025-07-27,历史对比期
到餐客服,2025,W31,2025-07-28,2025-08-03,历史对比期
到餐客服,2025,W32,2025-08-04,2025-08-10,历史对比期
到餐客服,2025,W33,2025-08-11,2025-08-17,历史对比期
到餐客服,2025,W34,2025-08-18,2025-08-24,历史对比期
到餐客服,2025,W35,2025-08-25,2025-08-31,历史对比期
到餐客服,2025,W36,2025-09-01,2025-09-07,历史对比期
到餐客服,2025,W37,2025-09-08,2025-09-14,历史对比期
到餐客服,2025,W38,2025-09-15,2025-09-21,历史对比期
到餐客服,2025,W39,2025-09-22,2025-09-28,历史对比期
到餐客服,2025,W40,2025-09-29,2025-10-05,历史对比期
到餐客服,2025,W41,2025-10-06,2025-10-12,历史对比期
到餐客服,2025,W42,2025-10-13,2025-10-19,历史对比期
到餐客服,2025,W43,2025-10-20,2025-10-26,历史对比期
到餐客服,2025,W44,2025-10-27,2025-11-02,历史对比期
到餐客服,2025,W45,2025-11-03,2025-11-09,历史对比期
到餐客服,2025,W46,2025-11-10,2025-11-16,历史对比期
到餐客服,2025,W47,2025-11-17,2025-11-23,历史对比期
到餐客服,2025,W48,2025-11-24,2025-11-30,历史对比期
