业务名称,维度类型,维度值,本期服务量,本期订单量,本期万服,对比期服务量,对比期订单量,对比期万服,绝对差(delta),YoY%,贡献度%,次/万单贡献
到餐客服,城市等级,一线城市,15234,892345,170.76,13856,856234,161.82,1389.4,5.52,28.45,2.84
到餐客服,城市等级,二线城市,18456,1023456,180.36,16923,998234,169.51,1085.2,6.41,22.24,2.16
到餐客服,城市等级,三线城市,9823,567890,173.01,9234,543210,169.93,308.1,1.81,6.32,0.62
到餐客服,城市等级,四线城市,4567,234567,194.72,4123,223456,184.49,102.3,5.56,2.10,0.21
到餐客服,城市等级,五线城市,2345,123456,189.95,2156,112345,191.89,-1.94,-1.01,-0.40,-0.02
到餐客服,品类,外卖,23456,1345678,174.23,21567,1289345,167.26,69.7,4.17,14.30,1.43
到餐客服,品类,到店,12345,678901,181.84,11234,645678,174.00,78.4,4.51,16.07,1.61
到餐客服,品类,酒旅,3456,189234,182.61,3234,178234,181.46,11.5,0.63,2.36,0.24
到餐客服,品类,闪购,5678,312345,181.78,5123,298765,171.52,101.6,5.98,10.44,1.04
到餐客服,品类,优选,2345,145678,160.93,2156,134567,160.14,7.9,0.49,1.62,0.16
到餐客服,事件类别,配送问题,8234,456789,180.32,7456,423456,176.06,42.6,2.42,8.74,0.87
到餐客服,事件类别,退款问题,6567,345678,189.94,6123,334567,183.05,68.9,3.77,14.13,1.41
到餐客服,事件类别,质量问题,4321,234567,184.32,3987,223456,178.41,59.1,3.31,12.12,1.21
到餐客服,事件类别,服务态度,3456,189234,182.61,3234,178234,181.46,11.5,0.63,2.36,0.24
到餐客服,事件类别,优惠券问题,2345,123456,189.95,2156,112345,191.89,-1.94,-1.01,-0.40,-0.02
到餐客服,事件类别,账户问题,1234,67890,181.78,1123,64567,174.00,77.8,4.47,15.95,1.60
到餐客服,事件类别,支付问题,567,34567,164.01,456,31234,145.98,180.3,12.34,36.92,3.69
到餐客服,事件类别,新增分类-会员服务,890,45678,194.85,0,0,0,194.85,N/A,N/A,N/A
到餐客服,进线渠道,APP在线,12345,678901,181.84,11234,645678,174.00,78.4,4.51,16.07,1.61
到餐客服,进线渠道,电话热线,8234,456789,180.32,7456,423456,176.06,42.6,2.42,8.74,0.87
到餐客服,进线渠道,小程序,5678,312345,181.78,5123,298765,171.52,101.6,5.98,20.82,2.08
到餐客服,进线渠道,网页端,2345,123456,189.95,2156,112345,191.89,-1.94,-1.01,-0.40,-0.02
到餐客服,战区,华东战区,9234,512345,180.23,8456,489234,172.93,73.0,4.22,14.97,1.50
到餐客服,战区,华南战区,7456,412345,180.81,6823,395678,172.46,83.5,4.84,17.12,1.71
到餐客服,战区,华北战区,6234,345678,180.32,5678,334567,169.71,106.1,6.25,21.76,2.18
到餐客服,战区,华中战区,4567,256789,177.91,4234,245678,172.36,55.5,3.22,11.38,1.14
到餐客服,战区,西南战区,3456,189234,182.61,3234,178234,181.46,11.5,0.63,2.36,0.24
到餐客服,战区,西北战区,2345,123456,189.95,2156,112345,191.89,-1.94,-1.01,-0.40,-0.02
到餐客服,FAQ,配送时效咨询,4567,256789,177.91,4234,245678,172.36,55.5,3.22,11.38,1.14
到餐客服,FAQ,退款进度查询,3456,189234,182.61,3234,178234,181.46,11.5,0.63,2.36,0.24
到餐客服,FAQ,优惠券使用,2345,123456,189.95,2156,112345,191.89,-1.94,-1.01,-0.40,-0.02
到餐客服,FAQ,会员权益,1234,67890,181.78,1123,64567,174.00,77.8,4.47,15.95,1.60
到餐客服,FAQ,新增FAQ-积分兑换,567,34567,164.01,0,0,0,164.01,N/A,N/A,N/A
闪购客服,城市等级,一线城市,8234,456789,180.32,7456,423456,176.06,42.6,2.42,8.74,0.87
闪购客服,城市等级,二线城市,9456,523456,180.68,8623,498234,173.12,75.6,4.37,15.50,1.55
闪购客服,城市等级,三线城市,5234,289234,181.00,4823,267890,180.05,9.5,0.53,1.95,0.19
闪购客服,城市等级,四线城市,2456,134567,182.58,2234,123456,180.96,16.2,0.90,3.32,0.33
闪购客服,城市等级,五线城市,1234,67890,181.78,1123,64567,174.00,77.8,4.47,15.95,1.60
闪购客服,品类,生鲜果蔬,5678,312345,181.78,5123,298765,171.52,101.6,5.98,20.82,2.08
