业务名称,年份,周次,开始日期,结束日期,周类型,维度类型,维度值,本期服务量,本期订单量,本期万服,对比期服务量,对比期订单量,对比期万服,绝对差(delta),YoY%,贡献度%,次/万单贡献
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,城市等级,一线城市,8622,1520131,56.72,7410,1339316,55.33,1.39,2.51,24.08,0.33
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,城市等级,二线城市,5209,765350,68.06,5278,760010,69.45,-1.39,-2.0,9.83,-0.14
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,城市等级,三线城市,19974,325377,613.87,19705,357403,551.34,62.53,11.34,2.64,1.65
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,城市等级,四线城市,23407,305547,766.07,21436,368396,581.87,184.2,31.66,21.47,39.55
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,城市等级,五线城市,11047,281175,392.89,12261,186400,657.78,-264.89,-40.27,17.24,-45.67
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,品类,外卖,8445,1319627,64.0,5904,1333273,44.28,19.72,44.53,-4.55,-0.9
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,品类,到店,4046,1074855,37.64,4367,907894,48.1,-10.46,-21.75,22.54,-2.36
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,品类,酒旅,14101,113821,1238.88,16861,134495,1253.65,-14.77,-1.18,8.53,-1.26
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,品类,闪购,2195,714475,30.72,1930,521937,36.98,-6.26,-16.93,-2.79,0.17
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,品类,优选,4706,1156913,40.68,3219,960089,33.53,7.15,21.32,-3.12,-0.22
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,事件类别,配送问题,14870,1014502,146.57,16342,851170,191.99,-45.42,-23.66,23.27,-10.57
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,事件类别,退款问题,20510,616476,332.7,21880,682314,320.67,12.03,3.75,4.71,0.57
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,事件类别,质量问题,17641,257383,685.4,17072,201346,847.89,-162.49,-19.16,13.89,-22.57
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,事件类别,服务态度,17201,428334,401.58,12116,382707,316.59,84.99,26.85,18.11,15.39
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,事件类别,优惠券问题,12740,388262,328.13,10565,314598,335.83,-7.7,-2.29,17.67,-1.36
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,事件类别,账户问题,25981,570251,455.61,22195,561360,395.38,60.23,15.23,14.65,8.82
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,事件类别,支付问题,17847,80510,2216.74,12623,92467,1365.14,851.6,62.38,8.43,71.79
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,事件类别,会员服务,18526,1357374,136.48,18439,1217773,151.42,-14.94,-9.87,-2.1,0.31
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,进线渠道,APP在线,13330,71590,1861.99,11051,68982,1602.01,259.98,16.23,24.05,62.53
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,进线渠道,电话热线,23145,575588,402.11,22742,421650,539.36,-137.25,-25.45,24.91,-34.19
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,进线渠道,小程序,10306,855306,120.49,13580,774471,175.35,-54.86,-31.29,4.6,-2.52
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,进线渠道,网页端,11733,990879,118.41,14103,1088586,129.55,-11.14,-8.6,16.23,-1.81
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,战区,华东战区,16369,461271,354.87,18626,592213,314.52,40.35,12.83,24.01,9.69
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,战区,华南战区,14948,1147184,130.3,10845,1100469,98.55,31.75,32.22,17.7,5.62
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,战区,华北战区,18348,750618,244.44,12692,702795,180.59,63.85,35.36,-4.93,-3.15
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,战区,华中战区,27314,1359892,200.85,21555,1452085,148.44,52.41,35.31,-4.61,-2.42
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,战区,西南战区,20296,524524,386.94,19697,602662,326.83,60.11,18.39,1.71,1.03
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,战区,西北战区,17529,1084723,161.6,17580,1187056,148.1,13.5,9.12,19.18,2.59
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,FAQ,配送时效咨询,19398,522552,371.22,26613,570987,466.09,-94.87,-20.35,17.33,-16.44
